#a	以
#a	以后
#a	以前
#aa	碍
#aa	鹌
*aabx	皑皑白雪
*aacd	鹌鹑蛋
*aach	鹌鹑
*aacj	暗暗吃惊
*aadb	嗷嗷待哺
*aadt	暗暗点头
#aae	砹
#aaem	砹
*aaff	安安分分
*aagx	暗暗高兴
*aajj	安安静静
*aajv	碍脚
*aaki	碍口
*aapf	暗暗佩服
*aapp	矮矮胖胖
*aaqd	暗暗祈祷
*aaqq	哀哀切切
*aaqx	暗暗庆幸
#aar	碍
#aarg	碍
*aasc	暗暗思忖
*aasf	碍事
*aask	碍手
*aass	矮矮实实
*aatt	凹凹凸凸
*aaud	暗暗祈祷
*aauu	哀哀切切
*aaux	暗暗庆幸
#aaw	鹌
#aawd	鹌
*aaww	安安稳稳
*aaxx	安安心心
*aayg	碍于
*aayj	哀哀欲绝
*aayo	碍眼
*abbd	按兵不动
*abbs	哀兵必胜
#abcd	A.B.C.D.
*abdc	安步当车
*abdg	安邦定国
*abdl	阿卜杜拉
*abfl	按百分率
*abgq	阿巴嘎旗
*abib	阿布扎比
*abig	安邦治国
*abii	阿坝藏族羌族自治州
*abiz	阿坝藏族羌族自治州
*abjb	按部就班
*abld	埃博拉病毒
*ablk	爱别离苦
*ablm	阿巴拉契亚山脉
*abls	阿巴拉契亚山
*ably	阿巴拉契亚
*abss	爱不释手
*abww	安不忘危
*abyc	安步以当车
*abzb	阿布扎比
*abzg	安邦治国
*abzi	阿坝藏族羌族自治州
*abzz	阿坝藏族羌族自治州
#ac	桉
*acft	爱出风头
#acn	桉
#acns	桉
*acrj	爱厂如家
*acrk	爱才若渴
*acrm	爱财如命
*acsc	桉树
*acsj	暗藏杀机
*acyd	暗潮涌动
#ad	澳
*adbl	爱答不理
*adcc	暗度陈仓
*adcc	暗渡陈仓
*adds	阿迪达斯
*aden	阿多尔诺
*adhi	爱达荷州
*adhx	安定和谐
*adhz	爱达荷州
*adid	澳洲
*adil	案牍之劳
*adkk	澳抗
*adkm	澳柯玛
*adlx	案牍劳形
*adly	澳大利亚
*admj	澳门
*admy	澳门元
*adna	安东尼奥
*adp	ADP
#adr	澳
#adra	澳
*adrx	安定人心
*adse	挨冻受饿
*adsm	安第斯山脉
*adss	安第斯山
*adtj	安定团结
*adwg	暗淡无光
*adwg	黯淡无光
*adwn	安度晚年
*adwo	澳网
*adyg	澳元
*adzd	澳洲
*adzl	案牍之劳
#ae	艾
#ae	菴
#aea	菴
#aeao	菴
*aebm	阿尔卑斯山脉
*aebs	阿尔卑斯
*aebs	阿尔卑斯山
*aebt	阿尔伯特
*aeby	阿尔巴尼亚
*aece	艾草
*aeds	阿尔都塞
*aefd	阿尔弗雷德
*aehe	艾蒿
*aehm	阿恩海姆
*aeib	艾滋病
*aeid	艾滋
*aeij	艾炷灸
*aeim	艾炷
*aeje	阿尔及尔
*aejm	艾卷
*aejs	阿尔金山
*aejw	艾灸
*aejy	阿尔及利亚
#ael	蔼
*aeld	爱尔兰岛
*aelj	艾伦
#aelr	蔼
*aelt	艾略特
#aem	艾
*aemg	艾玛
*aemj	艾美奖
#aemm	艾
*aeqg	艾青
*aerv	蔼然
*aerw	蔼然
*aerx	艾绒
*aesd	挨饿受冻
*aess	阿尔山市
*aets	阿尔泰山
*aetw	艾条
*aeug	艾青
*aewx	爱尔维修
*aeyi	艾叶
*aezb	艾滋病
*aezd	艾滋
*aezj	艾炷灸
*aezm	艾炷
#af	鞍
*afbh	鞍部
*afdd	案发地点
*afdt	案发当天
*afet	埃菲尔铁塔
*afet	艾菲尔铁塔
*afgy	鞍钢
*afih	鞍座
*afiv	鞍子
*afjl	阿伏加德罗
*afjs	阿伏加德罗常数
*afmx	鞍马
#afn	鞍
#afns	鞍
*afqm	鞍前
*afrx	安抚人心
*afsj	安分守己
*afso	鞍山
*afsr	艾发衰容
*afss	鞍山市
*afum	鞍前
*afxc	案发现场
*afzh	鞍座
*afzv	鞍子
#ag	遨
#ag	熬
#aga	獒
#agak	獒
*agbg	熬不过
*agbw	敖包
*agca	熬成
*agct	熬出头
*agcv	熬出
*agdb	按规定办
*agdi	熬得住
*agds	按规定办事
*agds	熬到
*agdt	熬到头
*agdz	熬得住
#agf	聱
#agfd	聱
*aggf	熬过
*aggq	熬过去
*aggu	熬过去
*aghd	敖汉
aghq	爱国华侨
*aghq	敖汉旗
*aghs	熬好
aghu	爱国华侨
*aghu	敖汉旗
*aghw	螯合物
*agib	熬粥
*agif	熬煮
*agis	爱国主义精神
*agit	熬制
*agix	爱国战线
*agiy	爱国主义
*agjd	按国家有关规定
*agjm	熬煎
*agjs	爱国精神
*agjy	爱岗敬业
*agjy	爱国敬业
*agll	爱国力量
#agm	瑷
#agma	瑷
agmm	熬
#agn	遨
#agnn	遨
*agnt	熬年头
#ago	螯
#agoi	嶅
#agok	螯
*agqb	爱国侨胞
*agqn	爱国青年
*agrj	爱国如家
*agrq	爱国热情
*agrs	爱国人士
*agru	爱国热情
*agsd	奥古斯丁
*agsf	爱国守法
*agsy	熬更守夜
#agt	敖
*agtb	爱国同胞
*agtd	熬汤
#agtk	敖
#agtm	敖
*agtn	鳌头
*agtx	爱国统一战线
*agub	爱国侨胞
*agun	爱国青年
#agw	鳌
*agwd	爱国卫生运动
#agwo	鳌
*agws	爱国卫生
#agx	骜
*agxd	爱国行动
#agxd	骜
*agxs	爱管闲事
#agy	鏊
*agyd	爱国运动
*agyd	遨游
*agye	熬药
*agyh	熬夜
#agyy	鏊
*agzb	熬粥
*agzf	熬煮
*agzs	爱国主义精神
*agzt	熬制
*agzx	爱国战线
*agzy	爱国主义
#ah	哀
#ah	癌
#aha	庵
#ahao	庵
*ahbh	癌变
*ahbi	爱护备至
*ahbm	安徽板面
*ahbr	鏖兵
*ahby	哀鸿遍野
*ahbz	爱护备至
*ahct	哀愁
*ahdn	哀悼
*ahdx	安徽大学
#ahg	廒
*ahgf	哀歌
*ahgf	爱好广泛
*ahgt	哀告
#ahgt	廒
*ahgw	爱护公物
*ahh	哀号
*ahhd	哀鸿
*ahhi	哀嚎
ahhi	哀号
*ahhp	爱好和平
#ahi	癌
*ahif	哀哉
*ahih	癌症
#ahio	癌
*ahiv	癌肿
ahiw	哀
*ahiy	鏖战
*ahji	哀叫
*ahji	爱恨交织
*ahjj	爱恨交加
*ahjl	哀矜
*ahjy	癌基因
*ahjz	爱恨交织
*ahl	哀牢
#ahl	霭
*ahlh	癌瘤
ahln	哀牢
*ahln	哀怜
#ahlr	霭
*ahmd	艾哈迈德
*ahmh	癌魔
